GEO_ID,NAME,Estimate!!Total!!Population 25 years and over!!Population 65 years and over!!Bachelor's degree or higher
37001,"Alamance County, North Carolina",5839
37003,"Alexander County, North Carolina",998
37005,"Alleghany County, North Carolina",601
37007,"Anson County, North Carolina",479
37009,"Ashe County, North Carolina",1312
37011,"Avery County, North Carolina",1015
37013,"Beaufort County, North Carolina",2611
37015,"Bertie County, North Carolina",507
37017,"Bladen County, North Carolina",851
37019,"Brunswick County, North Carolina",12734
37021,"Buncombe County, North Carolina",18350
37023,"Burke County, North Carolina",3068
37025,"Cabarrus County, North Carolina",4992
37027,"Caldwell County, North Carolina",2323
37029,"Camden County, North Carolina",163
37031,"Carteret County, North Carolina",4880
37033,"Caswell County, North Carolina",633
37035,"Catawba County, North Carolina",4930
37037,"Chatham County, North Carolina",6855
37039,"Cherokee County, North Carolina",1529
37041,"Chowan County, North Carolina",658
37043,"Clay County, North Carolina",900
37045,"Cleveland County, North Carolina",2740
37047,"Columbus County, North Carolina",1490
37049,"Craven County, North Carolina",4812
37051,"Cumberland County, North Carolina",7268
37053,"Currituck County, North Carolina",1041
37055,"Dare County, North Carolina",2826
37057,"Davidson County, North Carolina",4117
37059,"Davie County, North Carolina",1995
37061,"Duplin County, North Carolina",1159
37063,"Durham County, North Carolina",15398
37065,"Edgecombe County, North Carolina",1242
37067,"Forsyth County, North Carolina",16203
37069,"Franklin County, North Carolina",1492
37071,"Gaston County, North Carolina",5030
37073,"Gates County, North Carolina",258
37075,"Graham County, North Carolina",312
37077,"Granville County, North Carolina",1721
37079,"Greene County, North Carolina",264
37081,"Guilford County, North Carolina",22972
37083,"Halifax County, North Carolina",1359
37085,"Harnett County, North Carolina",2126
37087,"Haywood County, North Carolina",3951
37089,"Henderson County, North Carolina",10189
37091,"Hertford County, North Carolina",660
37093,"Hoke County, North Carolina",679
37095,"Hyde County, North Carolina",105
37097,"Iredell County, North Carolina",5495
37099,"Jackson County, North Carolina",2575
37101,"Johnston County, North Carolina",3929
37103,"Jones County, North Carolina",219
37105,"Lee County, North Carolina",1962
37107,"Lenoir County, North Carolina",1553
37109,"Lincoln County, North Carolina",2204
37111,"McDowell County, North Carolina",1663
37113,"Macon County, North Carolina",2371
37115,"Madison County, North Carolina",1181
37117,"Martin County, North Carolina",685
37119,"Mecklenburg County, North Carolina",38431
37121,"Mitchell County, North Carolina",471
37123,"Montgomery County, North Carolina",887
37125,"Moore County, North Carolina",8756
37127,"Nash County, North Carolina",2687
37129,"New Hanover County, North Carolina",13328
37131,"Northampton County, North Carolina",618
37133,"Onslow County, North Carolina",2794
37135,"Orange County, North Carolina",9462
37137,"Pamlico County, North Carolina",961
37139,"Pasquotank County, North Carolina",1209
37141,"Pender County, North Carolina",2248
37143,"Perquimans County, North Carolina",865
37145,"Person County, North Carolina",995
37147,"Pitt County, North Carolina",5519
37149,"Polk County, North Carolina",2235
37151,"Randolph County, North Carolina",3355
37153,"Richmond County, North Carolina",955
37155,"Robeson County, North Carolina",2395
37157,"Rockingham County, North Carolina",2245
37159,"Rowan County, North Carolina",3979
37161,"Rutherford County, North Carolina",2200
37163,"Sampson County, North Carolina",1291
37165,"Scotland County, North Carolina",871
37167,"Stanly County, North Carolina",1508
37169,"Stokes County, North Carolina",770
37171,"Surry County, North Carolina",2042
37173,"Swain County, North Carolina",397
37175,"Transylvania County, North Carolina",3701
37177,"Tyrrell County, North Carolina",82
37179,"Union County, North Carolina",6202
37181,"Vance County, North Carolina",1050
37183,"Wake County, North Carolina",44500
37185,"Warren County, North Carolina",827
37187,"Washington County, North Carolina",379
37189,"Watauga County, North Carolina",3257
37191,"Wayne County, North Carolina",3009
37193,"Wilkes County, North Carolina",2042
37195,"Wilson County, North Carolina",2538
37197,"Yadkin County, North Carolina",583
37199,"Yancey County, North Carolina",830
