GEO_ID,NAME,"Estimate!!Percent!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",Estimate!!Total!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher,total bach/total,total black/total bach
41001,"Baker County, Oregon",21.9,43,11907,2654,22.28940959,1.620195931
41003,"Benton County, Oregon",53.7,237,54364,29165,53.64763446,0.812617864
41005,"Clackamas County, Oregon",37.3,812,285481,105014,36.7849349,0.773230236
41007,"Clatsop County, Oregon",25.3,51,27935,6868,24.58564525,0.742574257
41009,"Columbia County, Oregon",17.7,126,36130,6445,17.83836147,1.955003879
41011,"Coos County, Oregon",18.1,35,47098,8445,17.93069769,0.414446418
41013,"Crook County, Oregon",16.9,0,16642,2762,16.59656291,0
41015,"Curry County, Oregon",24,74,18151,4349,23.96011239,1.701540584
41017,"Deschutes County, Oregon",35,143,130615,44674,34.20280978,0.320096701
41019,"Douglas County, Oregon",17.4,27,79864,13706,17.16167485,0.196994017
41021,"Gilliam County, Oregon",19.7,0,1448,293,20.23480663,0
41023,"Grant County, Oregon",19,5,5495,1034,18.81710646,0.483558994
41025,"Harney County, Oregon",17.8,0,5255,891,16.95528069,0
41027,"Hood River County, Oregon",39.5,13,15550,4915,31.60771704,0.264496439
41029,"Jackson County, Oregon",29.2,130,152902,41866,27.38093681,0.310514499
41031,"Jefferson County, Oregon",20.7,15,15816,2911,18.40541224,0.515286843
41033,"Josephine County, Oregon",18.1,22,63006,10843,17.20947211,0.202895878
41035,"Klamath County, Oregon",21,46,46345,8988,19.39367785,0.511793502
41037,"Lake County, Oregon",16,0,5891,910,15.44729248,0
41039,"Lane County, Oregon",30.1,761,251966,74546,29.58573776,1.020846189
41041,"Lincoln County, Oregon",24.7,24,36834,8886,24.12445024,0.270087779
41043,"Linn County, Oregon",19.8,86,85098,16618,19.52807352,0.517511133
41045,"Malheur County, Oregon",16.8,8,19716,2727,13.83140596,0.29336267
41047,"Marion County, Oregon",27.2,187,219917,50130,22.79496355,0.373030122
41049,"Morrow County, Oregon",13.2,0,7080,773,10.9180791,0
41051,"Multnomah County, Oregon",49.6,6045,579186,257958,44.53802405,2.34340474
41053,"Polk County, Oregon",31.9,265,52195,15728,30.13315452,1.684893184
41055,"Sherman County, Oregon",18.9,3,1238,241,19.46688207,1.244813278
41057,"Tillamook County, Oregon",22.1,23,19457,4094,21.04127049,0.561797753
41059,"Umatilla County, Oregon",18.9,64,50183,8140,16.22063249,0.786240786
41061,"Union County, Oregon",25,27,17317,4287,24.7560201,0.629811057
41063,"Wallowa County, Oregon",24.3,0,5425,1342,24.73732719,0
41065,"Wasco County, Oregon",22.8,20,18053,3703,20.51182629,0.540102619
41067,"Washington County, Oregon",45.8,3419,396593,173384,43.71837123,1.971923592
41069,"Wheeler County, Oregon",13.6,0,1098,154,14.02550091,0
41071,"Yamhill County, Oregon",29.2,100,69442,18373,26.45805132,0.544276928
