Program,Year,State,County,County ANSI
SURVEY,2009,WISCONSIN,Adams,1
SURVEY,2009,WISCONSIN,Green Lake,47
SURVEY,2009,WISCONSIN,Juneau,57
SURVEY,2009,WISCONSIN,Marquette,77
SURVEY,2009,WISCONSIN,Portage,97
SURVEY,2009,WISCONSIN,Waupaca,135
SURVEY,2009,WISCONSIN,Waushara,137
SURVEY,2009,WISCONSIN,Wood,141
SURVEY,2009,WISCONSIN,Brown,9
SURVEY,2009,WISCONSIN,Calumet,15
SURVEY,2009,WISCONSIN,Door,29
SURVEY,2009,WISCONSIN,Fond du Lac,39
SURVEY,2009,WISCONSIN,Kewaunee,61
SURVEY,2009,WISCONSIN,Manitowoc,71
SURVEY,2009,WISCONSIN,Outagamie,87
SURVEY,2009,WISCONSIN,Sheboygan,117
SURVEY,2009,WISCONSIN,Winnebago,139
SURVEY,2009,WISCONSIN,Clark,19
SURVEY,2009,WISCONSIN,Lincoln,69
SURVEY,2009,WISCONSIN,Marathon,73
SURVEY,2009,WISCONSIN,Price,99
SURVEY,2009,WISCONSIN,Taylor,119
SURVEY,2009,WISCONSIN,Marinette,75
SURVEY,2009,WISCONSIN,Oconto,83
SURVEY,2009,WISCONSIN,Shawano,115
SURVEY,2009,WISCONSIN,Barron,5
SURVEY,2009,WISCONSIN,Burnett,13
SURVEY,2009,WISCONSIN,Chippewa,17
SURVEY,2009,WISCONSIN,Polk,95
SURVEY,2009,WISCONSIN,Rusk,107
SURVEY,2009,WISCONSIN,Sawyer,113
SURVEY,2009,WISCONSIN,Washburn,129
SURVEY,2009,WISCONSIN,Columbia,21
SURVEY,2009,WISCONSIN,Dane,25
SURVEY,2009,WISCONSIN,Dodge,27
SURVEY,2009,WISCONSIN,Green,45
SURVEY,2009,WISCONSIN,Jefferson,55
SURVEY,2009,WISCONSIN,Rock,105
SURVEY,2009,WISCONSIN,Kenosha,59
SURVEY,2009,WISCONSIN,Ozaukee,89
SURVEY,2009,WISCONSIN,Racine,101
SURVEY,2009,WISCONSIN,Walworth,127
SURVEY,2009,WISCONSIN,Washington,131
SURVEY,2009,WISCONSIN,Crawford,23
SURVEY,2009,WISCONSIN,Grant,43
SURVEY,2009,WISCONSIN,Iowa,49
SURVEY,2009,WISCONSIN,Lafayette,65
SURVEY,2009,WISCONSIN,Richland,103
SURVEY,2009,WISCONSIN,Sauk,111
SURVEY,2009,WISCONSIN,Vernon,123
SURVEY,2009,WISCONSIN,Buffalo,11
SURVEY,2009,WISCONSIN,Dunn,33
SURVEY,2009,WISCONSIN,Eau Claire,35
SURVEY,2009,WISCONSIN,Jackson,53
SURVEY,2009,WISCONSIN,La Crosse,63
SURVEY,2009,WISCONSIN,Monroe,81
SURVEY,2009,WISCONSIN,Pepin,91
SURVEY,2009,WISCONSIN,Pierce,93
SURVEY,2009,WISCONSIN,St. Croix,109
SURVEY,2009,WISCONSIN,Trempealeau,121
