County,"MILK - PRODUCTION, MEASURED IN LB / HEAD"
Adams,16600
Green Lake,18600
Juneau,19900
Marquette,21400
Portage,18100
Waupaca,19400
Waushara,19600
Wood,17400
Brown,23600
Calumet,23800
Door,18100
Fond du Lac,22600
Kewaunee,24100
Manitowoc,24300
Outagamie,22700
Sheboygan,22200
Winnebago,22300
Clark,19000
Lincoln,17900
Marathon,19200
Price,17400
Taylor,16700
Marinette,21200
Oconto,21100
Shawano,20500
Barron,16700
Burnett,16600
Chippewa,17300
Polk,17700
Rusk,17300
Sawyer,17100
Washburn,19600
Columbia,21800
Dane,23000
Dodge,20100
Green,19300
Jefferson,19900
Rock,19400
Kenosha,21400
Ozaukee,22400
Racine,21700
Walworth,23000
Washington,21600
Crawford,16100
Grant,19400
Iowa,17800
Lafayette,18000
Richland,17900
Sauk,19300
Vernon,17000
Buffalo,18400
Dunn,18700
Eau Claire,17000
Jackson,18300
La Crosse,16600
Monroe,18300
Pepin,20200
Pierce,17900
St. Croix,19500
Trempealeau,18600
Menominee,0
Waukesha,0
Douglas,0
Iron,0
Florence,0
Forest,0
Langlade,0
Bayfield,0
Vilas,0
Oneida,0
Ashland,0
Milwaukee,0
